INDICATOR,Unemployment actual,INDICATOR,RealGDP actual,INDICATOR,Core CPI actual,INDICATOR,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE,Linear Regression Unemployment,Linear Regression RealGDP,Linear Regression Core CPI,Linear Regression Core PCE,KNeigborsRegressor Unemployment,KNeigborsRegressor RealGDP,KNeigborsRegressor Core CPI,KNeigborsRegressor Core PCE
Unemployment,6.15833333333333,RealGDP,1.87618,Core CPI,2.290573,Core PCE,1.52903905586508,6.214075,0.67791975,2.139981,1.5280857,6.290666663333318,1.292479600000002,2.274717479999997,1.5308561364545377,7.482991803158701,1.032216735409805,1.981717629240114,1.5254641926853418,6.15833333333333,0.668524,2.2707536,1.5350959911632738
Unemployment,4.35,RealGDP,1.71142,Core CPI,1.633581,Core PCE,1.664742,5.1513023,1.796689,1.6547567,1.756364,4.350000000000008,1.7049964000000015,1.6335810000000008,1.7562799668771223,4.223933222543046,1.6162567368268679,2.947616366996253,2.2528017920990893,4.35,1.71142,2.9285314,1.7904620000000002
Unemployment,9.60833333333333,RealGDP,2.52597,Core CPI,0.645572526463334,Core PCE,2.009623,9.614076,2.696391,1.3576521,1.8827783,9.608333333333347,2.4684430000000006,1.427840814862957,1.9159119935437912,9.192210301783103,2.6355642052746315,1.6878235617431319,1.7840262791077155,9.60833333333333,2.52531,1.8685738057510026,1.9406468000000001
Unemployment,8.93333333333333,RealGDP,-3.48626,Core CPI,1.742585,Core PCE,1.52903905586508,9.310516,2.4660852,1.7707555,1.5364617,9.018083333333315,2.5418936600000035,1.765029549999999,1.5386327498843502,9.248630880018826,2.7236341106799147,2.0117504944015394,1.4128091431232717,8.93333333333333,0.43223599999999995,1.742585,1.5350959911632738
Unemployment,7.35833333333333,RealGDP,3.51321,Core CPI,1.633581,Core PCE,2.25317372895313,7.516033,3.417212,1.7043447,2.2791674,7.474416666666675,3.5160668999999998,1.6814408212208962,2.2087673291709167,7.578610419125038,3.5007458931831064,2.2816044637324957,1.869135615529351,8.131666666666664,3.51321,1.7649794,2.25317372895313
Unemployment,8.108333,RealGDP,4.44722,Core CPI,1.72314678876611,Core PCE,1.821892,6.3191113,4.3513064,1.9171871,1.7920649,7.938666343333342,4.447903800000002,1.7976716987492753,1.7767949467718942,2.133640265812698,4.188213630285386,1.6776622999417778,2.2260348953097084,8.108333,4.44722,1.8594505244693118,1.7276019999999999
Unemployment,8.075,RealGDP,2.99646,Core CPI,1.99419965387277,Core PCE,1.92555704965729,7.973907,2.6314073,1.8373084,1.9136103,7.9060000000000095,2.4917118071428606,1.854734133693785,1.9243767359326143,8.668562357241935,2.1419798489381154,1.654349234216225,1.5760391203733253,8.075,2.746758,1.8873598167415822,1.90195077516373
Unemployment,4.35,RealGDP,2.99646,Core CPI,0.645572526463334,Core PCE,1.382284,4.7111845,2.8238127,0.6226408,1.3553159,4.3680629696296345,2.7489201314285765,0.7560375588813977,1.3893338794515242,4.060595443091003,1.9627494003903099,1.5916931686043228,1.8775742650188914,4.64,2.730948,0.645572526463334,1.382284
Unemployment,9.60833333333333,RealGDP,3.07551,Core CPI,2.31034482758621,Core PCE,1.80752567718949,9.562817,3.4663804,2.2976193,1.8412793,9.608333333333347,3.075510000000004,2.3103448275862135,1.840574461480474,9.326571198467587,1.4640345539199622,2.0805216243832465,1.3588322044736572,9.60833333333333,2.786882,2.31034482758621,1.8547382261766099
Unemployment,6.15833333333333,RealGDP,1.55083,Core CPI,0.645572526463334,Core PCE,1.92555704965729,6.0707583,1.8557025,0.6840201,1.8422145,6.1454999999999815,1.8277579999999998,0.6676655329469464,1.8435955025614947,6.382868955641172,1.473612051191922,1.6350515998356343,1.487318814626307,6.15833333333333,1.956006,0.645572526463334,1.8547382261766099
Unemployment,5.275,RealGDP,1.71142,Core CPI,1.633581,Core PCE,1.647664,5.1933565,1.8828546,1.655017,1.7070024,5.240933333333325,1.7667008000000017,1.6532907600000004,1.6621556004965732,7.264290135748258,1.3920319647713013,2.14846524267778,1.6004454487169983,5.195,1.984238,1.7649794,1.647664
Unemployment,9.60833333333333,RealGDP,1.84208,Core CPI,1.633581,Core PCE,1.92555704965729,9.61507,1.7531643,2.041293,1.764672,9.608333333333347,1.7219612749999995,2.177240836790038,1.8554199970931498,9.284706630989653,1.5526472722533882,2.220638201917355,1.639391821258287,9.60833333333333,1.7488239999999997,2.0061334,1.92555704965729
