Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,8.108333,RealGDP,2.8612,Core CPI,2.191476,Core PCE,1.80752567718949,8.240866,2.763811,2.2482252,1.814612,8.108332999999979,2.861199999999997,2.2293305782758583,1.839984304618135
Unemployment,5.275,RealGDP,3.07551,Core CPI,2.18235875482555,Core PCE,1.664742,5.199149,2.74174,2.124474,1.7525542,4.892777777777777,2.9591749312500037,2.140467215188546,1.717622143518516
Unemployment,3.89166666666667,RealGDP,2.33268,Core CPI,1.99419965387277,Core PCE,0.923599155883825,3.799995,2.6022806,1.8188723,1.5801069,3.89328703263191,2.6071767729166684,1.9121983669851301,1.387172646541637
Unemployment,8.108333,RealGDP,2.68428,Core CPI,1.99951403422141,Core PCE,1.92555704965729,7.87333,2.950857,1.9039353,1.5349753,8.10833299999998,2.796306125,1.894811737118887,1.8022310439754008
Unemployment,3.683333,RealGDP,2.68428,Core CPI,1.7271000610448,Core PCE,1.382284,0.85377836,2.887647,1.7592579,1.3878285,0.4922684777777778,2.965403499999998,1.7520915177015985,1.3867069999999988
Unemployment,8.075,RealGDP,4.44722,Core CPI,2.290573,Core PCE,1.55932373235605,8.160125,4.445443,2.146951,1.7648758,8.098842592592618,4.443003000000007,2.181818372123742,1.6229266487107858
Unemployment,5.275,RealGDP,2.52597,Core CPI,1.99951403422141,Core PCE,1.55932373235605,5.1104174,2.2757277,1.8171012,1.5810617,5.192314814814802,2.2765358124999984,1.8225172938814291,1.5438491039101785
Unemployment,3.683333,RealGDP,2.56377,Core CPI,1.75022285064397,Core PCE,1.80752567718949,3.8057873,2.4993062,1.8583984,1.7722296,3.761149607037029,2.447801499999997,1.5930073275154535,1.7956714540290428
Unemployment,8.93333333333333,RealGDP,3.07551,Core CPI,1.99951403422141,Core PCE,1.664742,8.972453,2.938909,2.0522404,1.7282684,8.690000000000005,3.0750159375000057,2.0181638818233005,1.664741999999997
Unemployment,4.35,RealGDP,0.0,Core CPI,2.191476,Core PCE,2.25317372895313,4.6316347,-0.019232467,2.2270975,1.8924488,4.586006944444452,0.0,2.1994037599999965,2.201134979208349
Unemployment,8.93333333333333,RealGDP,0.99835,Core CPI,1.75022285064397,Core PCE,1.647664,8.911496,1.2024463,1.920915,1.6298243,8.937083333333339,1.2830753124999985,1.8848400897757893,1.6501017702081162
Unemployment,4.875,RealGDP,4.75324,Core CPI,1.72314678876611,Core PCE,2.009623,4.6609387,4.6666646,1.8594275,1.8249055,4.801597222222223,4.671691,1.9331920646996819,1.986630933333336
Unemployment,5.275,RealGDP,2.52597,Core CPI,1.94900192417855,Core PCE,8.108333,5.299035,2.4275851,1.8364167,7.758253,5.227037037037023,2.511767124999992,1.9241578592831843,7.996232183333343
Unemployment,8.108333,RealGDP,4.02883,Core CPI,8.108333,Core PCE,1.45028728412906,7.4868402,3.8785572,2.7225065,1.3320631,7.936157187037031,3.9605940000000053,3.777567820684427,1.2670994523547847
Unemployment,4.35,RealGDP,1.84208,Core CPI,1.75022285064397,Core PCE,1.1841665165822,4.6725,1.8994918,1.5909104,1.5394188,4.661817129629635,1.8295741250000028,1.5292927858078427,1.3144548090270152
Unemployment,4.35,RealGDP,2.24955,Core CPI,1.72314678876611,Core PCE,2.009623,4.5171504,2.1960974,1.8263397,1.7763413,4.376250000000013,2.287936724999999,1.8554978981178027,1.9576360083333355
Unemployment,9.28333333333333,RealGDP,4.48141,Core CPI,1.99951403422141,Core PCE,1.57823742497407,9.299849,4.484919,1.8685567,1.5351605,9.283333333333308,4.478632062499992,1.7931009342192907,1.5525622260895975
Unemployment,3.683333,RealGDP,3.07551,Core CPI,2.17432412557292,Core PCE,8.108333,3.808542,2.2995808,2.0035906,7.714818,3.795408974074066,2.287806812499999,2.060817278872018,7.379677691666678
Unemployment,4.875,RealGDP,3.07551,Core CPI,1.75022285064397,Core PCE,2.009623,4.8166633,2.8255942,1.0492511,1.8731842,4.809263888888889,3.020949125000005,1.253130204762684,1.7384383833333328
Unemployment,3.683333,RealGDP,0.0,Core CPI,2.182359,Core PCE,1.55932373235605,3.7804356,-0.0605028,2.167593,1.3656212,3.722684977777769,0.0,2.164768037123119,1.5574309400753672
Unemployment,5.275,RealGDP,4.75324,Core CPI,1.72314678876611,Core PCE,1.52903905586508,5.5172143,4.700904,1.8468645,1.5329374,5.190601849999989,4.667198000000003,1.8447239152483155,1.5310580342978093
Unemployment,0.0,RealGDP,4.44722,Core CPI,1.633581,Core PCE,1.55932373235605,-0.027210724,4.328854,1.7381873,1.5360258,0.0,4.443003000000008,1.6873522571491764,1.5473781099623916
Unemployment,8.075,RealGDP,2.24955,Core CPI,1.7271000610448,Core PCE,1.52903905586508,8.377842,2.3268676,1.8833094,1.3565998,8.312916666666684,2.268763312499999,1.8712943084491196,1.2818177633727337
Unemployment,0.0,RealGDP,2.33268,Core CPI,1.742585,Core PCE,1.1841665165822,-0.031988766,2.3392465,1.8842165,1.2797464,0.0,2.457621624999999,1.8229674730774545,1.1894808951536173
Unemployment,3.891667,RealGDP,2.85497,Core CPI,1.94900192417855,Core PCE,1.82189194515254,3.4374297,2.7994807,1.9782183,1.6233522,3.593444951322745,2.848852562499993,1.9674796775870442,1.8059488094382834
Unemployment,8.108333,RealGDP,2.85497,Core CPI,2.191476,Core PCE,1.45028728412906,8.016452,2.8819182,2.2772918,1.1733469,8.10833299999998,2.867639812499993,2.282645239999997,1.291493856046581
Unemployment,3.683333,RealGDP,2.33268,Core CPI,2.191476,Core PCE,1.382284,3.762901,2.4537535,2.1777067,1.223199,3.719212744444435,2.2778254500000017,2.1895032365387244,1.3822839999999987
Unemployment,6.15833333333333,RealGDP,2.75285,Core CPI,1.72314678876611,Core PCE,1.382284,5.9291997,2.6735094,1.8179032,1.5263783,6.158333333333309,2.8594213125000083,1.8119831420283392,1.3844954999999988
Unemployment,6.15833333333333,RealGDP,1.87618,Core CPI,2.290573,Core PCE,1.52903905586508,6.279864,1.1112133,2.1726556,1.580599,6.31634258888887,1.360410250000002,2.2667897199999967,1.5274466629911185
Unemployment,4.35,RealGDP,1.71142,Core CPI,1.633581,Core PCE,1.664742,4.868384,1.9599428,1.6972218,1.7732689,4.350000000000014,1.706401562500001,1.6335810000000008,1.762088295833331
