Year,Period,Value,periodName,latest,footnotes
1994,M06,2.598,,,
1994,M07,3.341,,,
1994,M08,4.48,,,
1994,M09,4.458,,,
1994,M10,4.45,,,
1994,M11,4.482,,,
1994,M12,4.382,,,
1995,M01,4.398,,,
1995,M02,4.234,,,
1995,M03,4.108,,,
1995,M04,4.084,,,
1995,M05,4.067,,,
1995,M06,4.059,,,
1995,M07,4.027,,,
1995,M08,4.051,,,
1995,M09,3.996,,,
1995,M10,3.865,,,
1995,M11,3.814,,,
1995,M12,3.752,,,
1996,M01,3.577,,,
1996,M02,3.59,,,
1996,M03,3.55,,,
1996,M04,3.527,,,
1996,M05,3.444,,,
1996,M06,3.438,,,
1996,M07,3.38,,,
1996,M08,3.39,,,
1996,M09,3.333,,,
1996,M10,3.344,,,
1996,M11,3.283,,,
1996,M12,3.307,,,
1997,M01,3.3,,,
1997,M02,3.316,,,
1997,M03,3.512,,,
1997,M04,3.894,,,
1997,M05,4.109,,,
1997,M06,4.428,,,
1997,M07,4.628,,,
1997,M08,4.669,,,
1997,M09,4.617,,,
1997,M10,4.392,,,
1997,M11,4.303,,,
1997,M12,4.161,,,
1998,M01,4.025,,,
1998,M02,3.973,,,
1998,M03,4.033,,,
1998,M04,3.959,,,
1998,M05,3.878,,,
1998,M06,3.786,,,
1998,M07,3.771,,,
1998,M08,3.704,,,
1998,M09,3.62,,,
1998,M10,3.503,,,
1998,M11,3.482,,,
1998,M12,3.446,,,
1999,M01,3.435,,,
1999,M02,3.428,,,
1999,M03,3.476,,,
1999,M04,3.466,,,
1999,M05,3.495,,,
1999,M06,3.421,,,
1999,M07,3.42,,,
1999,M08,3.428,,,
1999,M09,3.393,,,
1999,M10,3.482,,,
1999,M11,3.337,,,
1999,M12,3.347,,,
2000,M01,3.54,,,
2000,M02,3.677,,,
2000,M03,3.633,,,
2000,M04,3.584,,,
2000,M05,3.531,,,
2000,M06,3.431,,,
2000,M07,3.446,,,
2000,M08,3.444,,,
2000,M09,3.339,,,
2000,M10,3.317,,,
2000,M11,3.243,,,
2000,M12,3.212,,,
2001,M01,3.224,,,
2001,M02,3.217,,,
2001,M03,3.205,,,
2001,M04,3.128,,,
2001,M05,3.097,,,
2001,M06,3.156,,,
2001,M07,3.097,,,
2001,M08,3.046,,,
2001,M09,3.025,,,
2001,M10,3.015,,,
2001,M11,2.988,,,
2001,M12,2.913,,,
2002,M01,2.936,,,
2002,M02,2.946,,,
2002,M03,2.859,,,
2002,M04,2.976,,,
2002,M05,3.011,,,
2002,M06,2.938,,,
2002,M07,2.977,,,
2002,M08,2.929,,,
2002,M09,2.921,,,
2002,M10,2.872,,,
2002,M11,2.882,,,
2002,M12,2.838,,,
2003,M01,2.999,,,
2003,M02,2.924,,,
2003,M03,2.933,,,
2003,M04,3.008,,,
2003,M05,2.937,,,
2003,M06,2.931,,,
2003,M07,2.944,,,
2003,M08,2.921,,,
2003,M09,2.919,,,
2003,M10,2.825,,,
2003,M11,2.779,,,
2003,M12,2.875,,,
2004,M01,2.892,,,
2004,M02,2.856,,,
2004,M03,2.932,,,
2004,M04,2.908,,,
2004,M05,2.831,,,
2004,M06,2.75,,,
2004,M07,2.878,,,
2004,M08,2.878,,,
2004,M09,2.874,,,
2004,M10,2.84,,,
2004,M11,2.778,,,
2004,M12,2.776,,,
2005,M01,3.049,,,
2005,M02,2.94,,,
2005,M03,3.009,,,
2005,M04,3.24,,,
2005,M05,3.329,,,
2005,M06,3.416,,,
2005,M07,3.334,,,
2005,M08,3.482,,,
2005,M09,3.376,,,
2005,M10,3.447,,,
2005,M11,3.293,,,
2005,M12,3.235,,,
2006,M01,3.232,,,
2006,M02,3.174,,,
2006,M03,3.301,,,
2006,M04,3.292,,,
2006,M05,3.349,,,
2006,M06,3.158,,,
2006,M07,3.154,,,
2006,M08,3.196,,,
2006,M09,3.173,,,
2006,M10,3.138,,,
2006,M11,3.158,,,
2006,M12,3.113,,,
2007,M01,3.288,,,
2007,M02,3.456,,,
2007,M03,3.475,,,
2007,M04,3.437,,,
2007,M05,3.308,,,
2007,M06,3.407,,,
2007,M07,3.529,,,
2007,M08,3.497,,,
2007,M11,3.607,,,
2007,M12,3.685,,,
2009,M12,3.669,,,
2010,M01,3.811,,,
2010,M02,3.736,,,
2010,M03,3.565,,,
2010,M04,3.641,,,
2010,M05,3.664,,,
2010,M06,3.697,,,
2010,M07,3.857,,,
2010,M08,3.935,,,
2010,M09,4.174,,,
2010,M10,4.175,,,
2010,M11,4.467,,,
2010,M12,4.146,,,
2011,M01,4.417,,,
2011,M02,4.218,,,
2011,M03,4.642,,,
2011,M04,5.101,,,
2011,M05,5.129,,,
2011,M06,5.234,,,
2011,M07,5.547,,,
2011,M08,5.766,,,
2011,M09,5.651,,,
2011,M10,5.511,,,
2011,M11,5.636,,,
2011,M12,5.437,,,
2012,M01,5.497,,,
2012,M02,5.382,,,
2012,M03,5.558,,,
2012,M04,5.513,,,
2012,M05,5.596,,,
2012,M06,5.582,,,
2012,M07,5.723,,,
2012,M08,5.693,,,
2012,M09,5.693,,,
2012,M10,5.888,,,
2012,M11,6.066,,,
2012,M12,5.921,,,
2013,M01,5.902,,,
2013,M02,5.742,,,
2013,M03,6.014,,,
2013,M04,5.674,,,
2013,M05,5.678,,,
2013,M06,5.588,,,
2013,M07,5.394,,,
2013,M08,5.214,,,
2013,M09,5.091,,,
2013,M10,5.149,,,
2013,M11,5.04,,,
2013,M12,4.948,,,
2014,M01,5.025,,,
2014,M02,5.002,,,
2014,M03,5.005,,,
2014,M04,5.204,,,
2014,M05,5.153,,,
2014,M06,4.67,,,
2014,M07,5.099,,,
2014,M08,5.167,,,
2014,M09,5.215,,,
2014,M10,5.032,,,
2014,M11,4.713,,,
2014,M12,4.59,,,
2015,M01,4.738,,,
2015,M02,4.91,,,
2015,M03,4.827,,,
2015,M04,4.99,,,
2015,M05,4.715,,,
2015,M06,4.686,,,
2015,M07,4.79,,,
2015,M08,4.808,,,
2015,M09,4.669,,,
2015,M10,4.609,,,
2015,M11,4.412,,,
2015,M12,4.486,,,
2016,M01,4.498,,,
2016,M02,4.447,,,
2016,M03,4.405,,,
2016,M04,4.428,,,
2016,M05,4.443,,,
2016,M06,4.481,,,
2016,M07,4.428,,,
2016,M08,4.316,,,
2016,M09,4.372,,,
2016,M10,4.309,,,
2016,M11,4.306,,,
2016,M12,4.281,,,
2017,M01,4.468,,,
2017,M02,4.583,,,
2017,M03,4.65,,,
2017,M04,4.622,,,
2017,M05,4.597,,,
2017,M06,4.545,,,
2017,M07,4.335,,,
2017,M08,4.373,,,
2017,M09,4.323,,,
2017,M10,4.327,,,
2017,M11,4.324,,,
2017,M12,4.285,,,
2018,M01,4.291,,,
2018,M02,4.267,,,
2018,M03,4.343,,,
2018,M04,4.313,,,
2018,M05,4.294,,,
2018,M09,4.306,,,
2019,M10,4.174,,,
2019,M11,4.197,,,
2019,M12,4.053,,,
2020,M01,4.174,January,,[{}]
2020,M02,4.25,February,,[{}]
2020,M03,4.334,March,,[{}]
2020,M04,4.396,April,,[{}]
2020,M05,4.466,May,,[{}]
2020,M06,4.517,June,,[{}]
2020,M07,4.536,July,,[{}]
2020,M08,4.504,August,,[{}]
2020,M09,4.487,September,,[{}]
2020,M10,4.522,October,,[{}]
2020,M11,4.485,November,,[{}]
2020,M12,4.52,December,,[{}]
2021,M01,4.591,January,,[{}]
2021,M02,4.673,February,,[{}]
2021,M03,4.671,March,,[{}]
2021,M04,4.752,April,,[{}]
2021,M05,4.566,May,,[{}]
2021,M06,4.605,June,true,[{}]
