DATE,GDPC1_PCH,GNP_PCH,GNPC96_PCH,CPILFESL,PCEPILFE,JHDUSRGDPBR,UNRATE,banana,beef,bread,chicken,coffee,eggs,electricity,flour,rice,unleadedGasoline
1973-01-01,2.47481,3.75454,2.56677,44.8,24.32333333333333,0.0,4.933333333333333,,,,,,,,,,
1973-04-01,1.08865,2.69083,1.13325,45.266666666666666,24.654666666666664,0.0,4.933333333333333,,,,,,,,,,
1973-07-01,-0.5259,1.55747,-0.38143,45.73333333333333,24.982333333333333,0.0,4.8,,,,,,,,,,
1973-10-01,0.94923,2.96163,0.94697,46.5,25.33,1.0,4.766666666666667,,,,,,,,,,
1974-01-01,-0.85977,1.18644,-0.67901,47.23333333333333,25.765,1.0,5.133333333333333,,,,,,,,,,
1974-04-01,0.23768,2.53117,0.17193,48.46666666666666,26.405,1.0,5.2,,,,,,,,,,
1974-07-01,-0.94513,1.86556,-1.03485,50.133333333333326,27.16,1.0,5.633333333333333,,,,,,,,,,
1974-10-01,-0.38814,2.39414,-0.52569,51.6,27.823,1.0,6.6,,,,,,,,,,
1975-01-01,-1.2173,0.89856,-1.34916,52.7,28.36733333333333,1.0,8.266666666666666,,,,,,,,,,
1975-04-01,0.71454,2.21178,0.71487,53.53333333333333,28.799,0.0,8.866666666666665,,,,,,,,,,
1975-07-01,1.71166,3.56529,1.76027,54.23333333333333,29.231666666666666,0.0,8.466666666666665,,,,,,,,,,
1975-10-01,1.34651,3.19123,1.48987,55.166666666666664,29.707666666666665,0.0,8.3,,,,,,,,,,
1976-01-01,2.24876,3.2869900000000003,2.19999,56.2,30.159333333333333,0.0,7.7333333333333325,,,,,,,,,,
1976-04-01,0.7337,1.78322,0.76256,56.96666666666666,30.520666666666664,0.0,7.5666666666666655,,,,,,,,,,
1976-07-01,0.54872,1.85663,0.55293,57.9,30.998666666666665,0.0,7.7333333333333325,,,,,,,,,,
1976-10-01,0.72485,2.54628,0.74068,58.7,31.484,0.0,7.766666666666666,,,,,,,,,,
1977-01-01,1.18149,2.93333,1.30525,59.666666666666664,32.013333333333335,0.0,7.5,,,,,,,,,,
1977-04-01,1.94411,3.3465,1.90186,60.633333333333326,32.50333333333333,0.0,7.133333333333333,,,,,,,,,,
1977-07-01,1.80435,3.01927,1.7755599999999998,61.5,33.04366666666667,0.0,6.9,,,,,,,,,,
1977-10-01,0.0021899999999999,2.04178,-0.11023,62.33333333333333,33.524,0.0,6.666666666666666,,,,,,,,,,
